id,linguagem,dificuldade,pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta,palavra_chave,explicacao
PYQ1,Python,Simples,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,print,A palavra-chave print é usada frequentemente em Python.
PYQ2,Python,Media,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,if,A palavra-chave if é usada frequentemente em Python.
PYQ3,Python,Simples,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ4,Python,Hard,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,print,A palavra-chave print é usada frequentemente em Python.
PYQ5,Python,Simples,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,if,A palavra-chave if é usada frequentemente em Python.
PYQ6,Python,Simples,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ7,Python,Hard,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,if,A palavra-chave if é usada frequentemente em Python.
PYQ8,Python,Dificil,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ9,Python,Media,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ10,Python,Dificil,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,for,A palavra-chave for é usada frequentemente em Python.
PYQ11,Python,Media,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ12,Python,Simples,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,print,A palavra-chave print é usada frequentemente em Python.
PYQ13,Python,Simples,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,for,A palavra-chave for é usada frequentemente em Python.
PYQ14,Python,Dificil,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ15,Python,Hard,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ16,Python,Hard,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,print,A palavra-chave print é usada frequentemente em Python.
PYQ17,Python,Dificil,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,lista,A palavra-chave lista é usada frequentemente em Python.
