id,linguagem,dificuldade,titulo,descricao,objetivo,palavra_chave,xp_recompensa,tempo_limite_segundos,dica
PYDSI1,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,308,60,Pesquise como utilizar while corretamente.
PYDSI2,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,303,60,Pesquise como utilizar lista corretamente.
PYDSI3,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,498,300,Pesquise como utilizar if corretamente.
PYDSI4,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,135,30,Pesquise como utilizar print corretamente.
PYDSI5,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,184,300,Pesquise como utilizar while corretamente.
PYDSI6,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,101,60,Pesquise como utilizar funcao corretamente.
PYDSI7,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,67,300,Pesquise como utilizar dicionario corretamente.
PYDSI8,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,403,60,Pesquise como utilizar print corretamente.
PYDSI9,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,117,300,Pesquise como utilizar print corretamente.
PYDSI10,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,231,60,Pesquise como utilizar while corretamente.
PYDSI11,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,406,60,Pesquise como utilizar while corretamente.
PYDSI12,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,200,30,Pesquise como utilizar funcao corretamente.
PYDSI13,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,472,120,Pesquise como utilizar for corretamente.
PYDSI14,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,361,30,Pesquise como utilizar lista corretamente.
PYDSI15,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,73,30,Pesquise como utilizar funcao corretamente.
PYDSI16,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,231,300,Pesquise como utilizar funcao corretamente.
PYDSI17,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,372,300,Pesquise como utilizar while corretamente.
PYDSI18,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,477,300,Pesquise como utilizar funcao corretamente.
PYDSI19,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,437,300,Pesquise como utilizar for corretamente.
PYDSI20,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,118,60,Pesquise como utilizar funcao corretamente.
PYDSI21,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,442,30,Pesquise como utilizar funcao corretamente.
PYDSI22,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,53,120,Pesquise como utilizar if corretamente.
PYDSI23,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,382,300,Pesquise como utilizar funcao corretamente.
PYDSI24,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,214,300,Pesquise como utilizar while corretamente.
PYDSI25,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,310,120,Pesquise como utilizar if corretamente.
PYDSI26,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,99,60,Pesquise como utilizar dicionario corretamente.
PYDSI27,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,302,120,Pesquise como utilizar for corretamente.
PYDSI28,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,338,300,Pesquise como utilizar print corretamente.
PYDSI29,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,215,300,Pesquise como utilizar for corretamente.
PYDSI30,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,437,60,Pesquise como utilizar for corretamente.
PYDSI31,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,71,60,Pesquise como utilizar if corretamente.
PYDSI32,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,315,120,Pesquise como utilizar while corretamente.
PYDSI33,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,500,120,Pesquise como utilizar lista corretamente.
PYDSI34,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,227,120,Pesquise como utilizar print corretamente.
PYDSI35,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,110,120,Pesquise como utilizar if corretamente.
PYDSI36,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,299,300,Pesquise como utilizar for corretamente.
PYDSI37,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,136,120,Pesquise como utilizar if corretamente.
PYDSI38,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,360,30,Pesquise como utilizar for corretamente.
